date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2025-03-27,AAPL,2025-04-11,180.00,Call,41.75,42.45,0.5196,0.9761,0.0023,-0.0632,0.0260,0.0763
2025-03-27,AAPL,2025-04-11,180.00,Put,0.14,0.15,0.4851,-0.0172,0.0018,-0.0295,0.0198,-0.0017
2025-03-27,AAPL,2025-04-11,185.00,Call,36.75,37.50,0.4666,0.9721,0.0029,-0.0647,0.0296,0.0781
2025-03-27,AAPL,2025-04-11,185.00,Put,0.19,0.21,0.4526,-0.0244,0.0027,-0.0369,0.0266,-0.0024
2025-03-27,AAPL,2025-04-11,190.00,Call,31.85,32.55,0.4271,0.9627,0.0041,-0.0721,0.0377,0.0793
2025-03-27,AAPL,2025-04-11,190.00,Put,0.26,0.28,0.4176,-0.0342,0.0039,-0.0449,0.0351,-0.0034
2025-03-27,AAPL,2025-04-11,195.00,Call,27.00,27.65,0.3926,0.9469,0.0059,-0.0834,0.0501,0.0799
2025-03-27,AAPL,2025-04-11,195.00,Put,0.37,0.39,0.3844,-0.0495,0.0057,-0.0556,0.0474,-0.0049
2025-03-27,AAPL,2025-04-11,202.50,Call,20.05,20.35,0.3500,0.9012,0.0107,-0.1098,0.0806,0.0786
2025-03-27,AAPL,2025-04-11,202.50,Put,0.69,0.72,0.3401,-0.0927,0.0105,-0.0796,0.0781,-0.0087
2025-03-27,AAPL,2025-04-11,205.00,Call,17.75,18.00,0.3341,0.8791,0.0129,-0.1186,0.0932,0.0775
2025-03-27,AAPL,2025-04-11,205.00,Put,0.88,0.91,0.3278,-0.1166,0.0129,-0.0904,0.0920,-0.0109
2025-03-27,AAPL,2025-04-11,210.00,Call,13.40,13.60,0.3130,0.8099,0.0186,-0.1430,0.1258,0.0727
2025-03-27,AAPL,2025-04-11,210.00,Put,1.44,1.52,0.3054,-0.1852,0.0189,-0.1138,0.1225,-0.0170
2025-03-27,AAPL,2025-04-11,215.00,Call,9.05,9.55,0.2797,0.7166,0.0260,-0.1552,0.1570,0.0655
2025-03-27,AAPL,2025-04-11,215.00,Put,2.48,2.53,0.2883,-0.2899,0.0258,-0.1363,0.1622,-0.0259
2025-03-27,AAPL,2025-04-11,220.00,Call,6.00,6.15,0.2735,0.5726,0.0309,-0.1700,0.1819,0.0529
2025-03-27,AAPL,2025-04-11,220.00,Put,4.05,4.15,0.2709,-0.4298,0.0317,-0.1444,0.1815,-0.0369
2025-03-27,AAPL,2025-04-11,225.00,Call,3.35,3.45,0.2558,0.4100,0.0327,-0.1546,0.1803,0.0383
2025-03-27,AAPL,2025-04-11,225.00,Put,6.40,6.50,0.2539,-0.5967,0.0337,-0.1295,0.1812,-0.0473
2025-03-27,AAPL,2025-04-11,227.50,Call,2.31,2.40,0.2457,0.3249,0.0315,-0.1365,0.1669,0.0305
2025-03-27,AAPL,2025-04-11,227.50,Put,7.90,9.10,0.2782,-0.6597,0.0292,-0.1336,0.1703,-0.0509
2025-03-27,AAPL,2025-04-11,232.50,Call,1.02,1.07,0.2359,0.1801,0.0239,-0.0944,0.1217,0.0170
2025-03-27,AAPL,2025-04-11,232.50,Put,11.55,11.90,0.2391,-0.8296,0.0251,-0.0729,0.1186,-0.0499
2025-03-27,AAPL,2025-04-11,237.50,Call,0.40,0.43,0.2321,0.0856,0.0145,-0.0548,0.0725,0.0081
2025-03-27,AAPL,2025-04-11,237.50,Put,15.80,16.35,0.2215,-0.9477,0.0155,-0.0240,0.0530,-0.0289
