date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2025-03-28,AAPL,2025-04-11,175.00,Call,48.90,50.00,0.6439,0.9753,0.0019,-0.0766,0.0262,0.0693
2025-03-28,AAPL,2025-04-11,175.00,Put,0.08,0.10,0.5420,-0.0103,0.0011,-0.0222,0.0125,-0.0009
2025-03-28,AAPL,2025-04-11,180.00,Call,43.95,44.60,0.4950,0.9874,0.0014,-0.0455,0.0147,0.0726
2025-03-28,AAPL,2025-04-11,180.00,Put,0.11,0.13,0.5072,-0.0142,0.0015,-0.0274,0.0164,-0.0013
2025-03-28,AAPL,2025-04-11,185.00,Call,39.00,40.15,0.5509,0.9623,0.0032,-0.0894,0.0372,0.0722
2025-03-28,AAPL,2025-04-11,185.00,Put,0.15,0.16,0.4696,-0.0192,0.0022,-0.0327,0.0212,-0.0018
2025-03-28,AAPL,2025-04-11,190.00,Call,33.95,35.55,0.5241,0.9466,0.0045,-0.1073,0.0492,0.0728
2025-03-28,AAPL,2025-04-11,190.00,Put,0.20,0.22,0.4344,-0.0270,0.0031,-0.0402,0.0283,-0.0025
2025-03-28,AAPL,2025-04-11,195.00,Call,29.20,29.85,0.4082,0.9582,0.0048,-0.0773,0.0404,0.0760
2025-03-28,AAPL,2025-04-11,195.00,Put,0.27,0.29,0.3969,-0.0377,0.0045,-0.0482,0.0372,-0.0035
2025-03-28,AAPL,2025-04-11,200.00,Call,24.30,24.95,0.3657,0.9430,0.0068,-0.0856,0.0518,0.0766
2025-03-28,AAPL,2025-04-11,200.00,Put,0.39,0.42,0.3638,-0.0560,0.0068,-0.0605,0.0512,-0.0053
2025-03-28,AAPL,2025-04-11,205.00,Call,19.80,20.15,0.3516,0.9023,0.0108,-0.1135,0.0782,0.0748
2025-03-28,AAPL,2025-04-11,205.00,Put,0.61,0.65,0.3348,-0.0874,0.0104,-0.0780,0.0721,-0.0083
2025-03-28,AAPL,2025-04-11,210.00,Call,15.25,15.50,0.3204,0.8516,0.0159,-0.1331,0.1050,0.0720
2025-03-28,AAPL,2025-04-11,210.00,Put,1.00,1.07,0.3092,-0.1404,0.0159,-0.1010,0.1026,-0.0123
2025-03-28,AAPL,2025-04-11,212.50,Call,13.10,13.35,0.3104,0.8124,0.0191,-0.1466,0.1221,0.0693
2025-03-28,AAPL,2025-04-11,212.50,Put,1.32,1.41,0.2992,-0.1799,0.0194,-0.1144,0.1199,-0.0156
2025-03-28,AAPL,2025-04-11,217.50,Call,9.05,9.30,0.2868,0.7105,0.0262,-0.1663,0.1551,0.0615
