date,reference_start,target_range,field,value
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 150bps - 175bps,1.14
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 175bps - 200bps,1.26
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 200bps - 225bps,1.49
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 225bps - 250bps,1.82
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 250bps - 275bps,2.20
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 275bps - 300bps,2.53
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 300bps - 325bps,2.74
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 325bps - 350bps,2.93
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 350bps - 375bps,3.35
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 375bps - 400bps,4.33
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 400bps - 425bps,6.04
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 425bps - 450bps,8.25
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 450bps - 475bps,10.28
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 475bps - 500bps,11.29
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 500bps - 525bps,10.79
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 525bps - 550bps,8.95
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 550bps - 575bps,6.45
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 575bps - 600bps,4.08
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 600bps - 625bps,2.32
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 625bps - 650bps,1.26
2023-03-29,2023-12-20T00:00:00Z,475bps - 500bps,Prob: 650bps - 675bps,0.73
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Rate: 25th percentile,303.32
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Rate: mean,391.98
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Rate: mode,453.90
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Rate: 75th percentile,504.17
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: cut,66.72
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: hike,26.11
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 0bps - 25bps,0.99
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 25bps - 50bps,1.13
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 50bps - 75bps,1.27
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 75bps - 100bps,1.41
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 100bps - 125bps,1.54
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 125bps - 150bps,1.66
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 150bps - 175bps,1.77
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 175bps - 200bps,1.90
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 200bps - 225bps,2.09
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 225bps - 250bps,2.38
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 250bps - 275bps,2.80
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 275bps - 300bps,3.35
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 300bps - 325bps,4.03
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 325bps - 350bps,4.83
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 350bps - 375bps,5.72
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 375bps - 400bps,6.63
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 400bps - 425bps,7.45
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 425bps - 450bps,7.98
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 450bps - 475bps,8.06
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 475bps - 500bps,7.59
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 500bps - 525bps,6.62
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 525bps - 550bps,5.35
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 550bps - 575bps,4.05
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 575bps - 600bps,2.93
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 600bps - 625bps,2.09
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 625bps - 650bps,1.53
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 650bps - 675bps,1.17
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 675bps - 700bps,0.94
2023-03-29,2024-03-20T00:00:00Z,475bps - 500bps,Prob: 700bps - 725bps,0.76
2023-03-29,2024-06-19T00:00:00Z,475bps - 475bps,Rate: 25th percentile,251.74
2023-03-29,2024-06-19T00:00:00Z,475bps - 475bps,Rate: mean,359.04
2023-03-29,2024-06-19T00:00:00Z,475bps - 475bps,Rate: mode,399.68
2023-03-29,2024-06-19T00:00:00Z,475bps - 475bps,Rate: 75th percentile,484.42
2023-03-29,2024-09-18T00:00:00Z,475bps - 475bps,Rate: 25th percentile,205.67
2023-03-29,2024-09-18T00:00:00Z,475bps - 475bps,Rate: mean,332.74
2023-03-29,2024-09-18T00:00:00Z,475bps - 475bps,Rate: mode,409.92
2023-03-29,2024-09-18T00:00:00Z,475bps - 475bps,Rate: 75th percentile,458.45
2023-03-29,2024-12-18T00:00:00Z,475bps - 475bps,Rate: 25th percentile,184.85
2023-03-29,2024-12-18T00:00:00Z,475bps - 475bps,Rate: mean,318.44
2023-03-29,2024-12-18T00:00:00Z,475bps - 475bps,Rate: mode,344.69
2023-03-29,2024-12-18T00:00:00Z,475bps - 475bps,Rate: 75th percentile,447.60
2023-03-29,2025-03-19T00:00:00Z,475bps - 475bps,Rate: 25th percentile,170.07
2023-03-29,2025-03-19T00:00:00Z,475bps - 475bps,Rate: mean,311.54
2023-03-29,2025-03-19T00:00:00Z,475bps - 475bps,Rate: mode,314.82
2023-03-29,2025-03-19T00:00:00Z,475bps - 475bps,Rate: 75th percentile,441.72
2023-03-29,2025-06-18T00:00:00Z,475bps - 475bps,Rate: 25th percentile,164.08
2023-03-29,2025-06-18T00:00:00Z,475bps - 475bps,Rate: mean,307.89
2023-03-29,2025-06-18T00:00:00Z,475bps - 475bps,Rate: mode,263.58
2023-03-29,2025-06-18T00:00:00Z,475bps - 475bps,Rate: 75th percentile,438.43
2023-03-29,2025-09-17T00:00:00Z,475bps - 475bps,Rate: 25th percentile,161.77
2023-03-29,2025-09-17T00:00:00Z,475bps - 475bps,Rate: mean,305.74
2023-03-29,2025-09-17T00:00:00Z,475bps - 475bps,Rate: mode,249.00
2023-03-29,2025-09-17T00:00:00Z,475bps - 475bps,Rate: 75th percentile,437.08
2023-03-29,2025-12-17T00:00:00Z,475bps - 475bps,Rate: 25th percentile,150.79
2023-03-29,2025-12-17T00:00:00Z,475bps - 475bps,Rate: mean,304.52
2023-03-29,2025-12-17T00:00:00Z,475bps - 475bps,Rate: mode,234.66
2023-03-29,2025-12-17T00:00:00Z,475bps - 475bps,Rate: 75th percentile,436.66
2023-03-29,2026-03-18T00:00:00Z,475bps - 475bps,Rate: 25th percentile,84.45
2023-03-29,2026-03-18T00:00:00Z,475bps - 475bps,Rate: mean,305.00
2023-03-29,2026-03-18T00:00:00Z,475bps - 475bps,Rate: mode,139.31
2023-03-29,2026-03-18T00:00:00Z,475bps - 475bps,Rate: 75th percentile,566.86
