date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2025-04-11,AAPL,2025-04-25,160.00,Call,38.70,39.95,0.7835,0.9324,0.0044,-0.1921,0.0518,0.0555
2025-04-11,AAPL,2025-04-25,160.00,Put,1.02,1.07,0.7929,-0.0717,0.0044,-0.1465,0.0536,-0.0055
2025-04-11,AAPL,2025-04-25,165.00,Call,34.45,35.05,0.7631,0.9065,0.0057,-0.2254,0.0657,0.0553
2025-04-11,AAPL,2025-04-25,165.00,Put,1.30,1.35,0.7493,-0.0920,0.0057,-0.1665,0.0623,-0.0070
2025-04-11,AAPL,2025-04-25,167.50,Call,31.85,32.80,0.7267,0.8982,0.0064,-0.2273,0.0699,0.0556
2025-04-11,AAPL,2025-04-25,167.50,Put,1.46,1.52,0.7272,-0.1041,0.0064,-0.1766,0.0708,-0.0079
2025-04-11,AAPL,2025-04-25,172.50,Call,27.30,28.25,0.6879,0.8674,0.0081,-0.2511,0.0839,0.0550
2025-04-11,AAPL,2025-04-25,172.50,Put,1.89,1.96,0.6876,-0.1347,0.0082,-0.1997,0.0840,-0.0101
2025-04-11,AAPL,2025-04-25,177.50,Call,22.90,23.75,0.6458,0.8290,0.0102,-0.2719,0.0991,0.0538
2025-04-11,AAPL,2025-04-25,177.50,Put,2.51,2.57,0.6519,-0.1757,0.0103,-0.2244,0.0993,-0.0131
2025-04-11,AAPL,2025-04-25,182.50,Call,19.15,19.35,0.6218,0.7741,0.0125,-0.3006,0.1171,0.0512
2025-04-11,AAPL,2025-04-25,182.50,Put,3.30,3.40,0.6173,-0.2277,0.0127,-0.2467,0.1176,-0.0167
2025-04-11,AAPL,2025-04-25,187.50,Call,15.25,15.45,0.5899,0.7092,0.0150,-0.3183,0.1332,0.0478
2025-04-11,AAPL,2025-04-25,187.50,Put,4.35,4.50,0.5841,-0.2931,0.0153,-0.2637,0.1338,-0.0212
2025-04-11,AAPL,2025-04-25,190.00,Call,13.40,13.85,0.5819,0.6702,0.0161,-0.3279,0.1406,0.0455
2025-04-11,AAPL,2025-04-25,190.00,Put,5.00,5.15,0.5674,-0.3310,0.0167,-0.2687,0.1406,-0.0236
2025-04-11,AAPL,2025-04-25,195.00,Call,10.05,10.25,0.5443,0.5865,0.0185,-0.3252,0.1512,0.0405
2025-04-11,AAPL,2025-04-25,195.00,Put,6.65,6.80,0.5388,-0.4184,0.0190,-0.2714,0.1508,-0.0291
2025-04-11,AAPL,2025-04-25,197.50,Call,8.55,8.70,0.5294,0.5392,0.0194,-0.3201,0.1540,0.0375
2025-04-11,AAPL,2025-04-25,197.50,Put,7.70,7.80,0.5273,-0.4669,0.0198,-0.2685,0.1538,-0.0318
2025-04-11,AAPL,2025-04-25,202.50,Call,5.95,6.10,0.5059,0.4385,0.0201,-0.2997,0.1528,0.0309
2025-04-11,AAPL,2025-04-25,202.50,Put,10.00,10.25,0.5005,-0.5706,0.0208,-0.2462,0.1521,-0.0370
2025-04-11,AAPL,2025-04-25,205.00,Call,4.85,5.00,0.4949,0.3869,0.0200,-0.2831,0.1483,0.0274
2025-04-11,AAPL,2025-04-25,205.00,Put,11.40,12.65,0.5224,-0.6137,0.0195,-0.2494,0.1486,-0.0392
2025-04-11,AAPL,2025-04-25,210.00,Call,3.10,3.20,0.4759,0.2872,0.0185,-0.2399,0.1320,0.0205
2025-04-11,AAPL,2025-04-25,210.00,Put,14.60,14.90,0.4659,-0.7302,0.0194,-0.1834,0.1290,-0.0415
2025-04-11,AAPL,2025-04-25,215.00,Call,1.86,1.94,0.4608,0.1993,0.0156,-0.1889,0.1082,0.0143
2025-04-11,AAPL,2025-04-25,215.00,Put,17.65,18.80,0.4133,-0.8492,0.0169,-0.1053,0.0894,-0.0376
2025-04-11,AAPL,2025-04-25,217.50,Call,1.42,1.49,0.4558,0.1625,0.0139,-0.1638,0.0952,0.0117
2025-04-11,AAPL,2025-04-25,217.50,Put,19.15,21.60,0.4062,-0.8912,0.0148,-0.0787,0.0737,-0.0334
