date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2025-04-14,AAPL,2025-04-25,162.50,Call,39.30,41.90,0.6706,0.9742,0.0024,-0.0603,0.0202,0.0473
2025-04-14,AAPL,2025-04-25,162.50,Put,0.24,0.46,0.7231,-0.0333,0.0029,-0.0858,0.0261,-0.0021
2025-04-14,AAPL,2025-04-25,167.50,Call,35.50,36.10,0.6637,0.9564,0.0038,-0.0950,0.0318,0.0476
2025-04-14,AAPL,2025-04-25,167.50,Put,0.57,0.59,0.7092,-0.0525,0.0042,-0.1215,0.0377,-0.0033
2025-04-14,AAPL,2025-04-25,172.50,Call,30.75,33.25,0.8104,0.8886,0.0065,-0.2434,0.0662,0.0446
2025-04-14,AAPL,2025-04-25,172.50,Put,0.78,0.80,0.6676,-0.0721,0.0058,-0.1464,0.0483,-0.0046
2025-04-14,AAPL,2025-04-25,177.50,Call,26.00,26.65,0.6012,0.9080,0.0077,-0.1573,0.0575,0.0475
2025-04-14,AAPL,2025-04-25,177.50,Put,1.07,1.10,0.6267,-0.0992,0.0079,-0.1746,0.0614,-0.0063
2025-04-14,AAPL,2025-04-25,182.50,Call,21.50,22.00,0.5665,0.8693,0.0105,-0.1917,0.0743,0.0465
2025-04-14,AAPL,2025-04-25,182.50,Put,1.52,1.55,0.5904,-0.1382,0.0106,-0.2085,0.0763,-0.0084
2025-04-14,AAPL,2025-04-25,187.50,Call,17.15,17.75,0.5415,0.8118,0.0140,-0.2336,0.0946,0.0443
2025-04-14,AAPL,2025-04-25,187.50,Put,2.17,2.22,0.5570,-0.1927,0.0140,-0.2441,0.0937,-0.0116
2025-04-14,AAPL,2025-04-25,190.00,Call,15.45,15.65,0.5424,0.7712,0.0157,-0.2628,0.1062,0.0424
2025-04-14,AAPL,2025-04-25,190.00,Put,2.62,2.65,0.5418,-0.2270,0.0158,-0.2614,0.1097,-0.0136
2025-04-14,AAPL,2025-04-25,195.00,Call,11.60,11.80,0.5123,0.6880,0.0195,-0.2905,0.1243,0.0385
2025-04-14,AAPL,2025-04-25,195.00,Put,3.75,3.85,0.5128,-0.3110,0.0196,-0.2895,0.1242,-0.0185
2025-04-14,AAPL,2025-04-25,197.50,Call,9.85,10.00,0.4970,0.6388,0.0213,-0.2984,0.1316,0.0360
2025-04-14,AAPL,2025-04-25,197.50,Put,4.45,4.60,0.4980,-0.3602,0.0214,-0.2979,0.1301,-0.0213
2025-04-14,AAPL,2025-04-25,202.50,Call,6.70,6.90,0.4698,0.5259,0.0240,-0.3000,0.1400,0.0301
2025-04-14,AAPL,2025-04-25,202.50,Put,6.30,6.45,0.4692,-0.4732,0.0241,-0.2978,0.1401,-0.0275
2025-04-14,AAPL,2025-04-25,207.50,Call,4.20,4.35,0.4438,0.4005,0.0247,-0.2752,0.1360,0.0232
2025-04-14,AAPL,2025-04-25,207.50,Put,8.80,8.95,0.4456,-0.5984,0.0247,-0.2740,0.1377,-0.0337
2025-04-14,AAPL,2025-04-25,210.00,Call,3.20,3.35,0.4326,0.3373,0.0239,-0.2536,0.1285,0.0196
2025-04-14,AAPL,2025-04-25,210.00,Put,10.25,10.45,0.4324,-0.6622,0.0240,-0.2504,0.1291,-0.0365
2025-04-14,AAPL,2025-04-25,215.00,Call,1.76,1.81,0.4137,0.2207,0.0203,-0.1969,0.1044,0.0129
2025-04-14,AAPL,2025-04-25,215.00,Put,13.75,14.05,0.4183,-0.7767,0.0203,-0.1968,0.1089,-0.0402
2025-04-14,AAPL,2025-04-25,217.50,Call,1.25,1.29,0.4061,0.1712,0.0177,-0.1656,0.0894,0.0100
2025-04-14,AAPL,2025-04-25,217.50,Put,14.75,16.20,0.3633,-0.8582,0.0177,-0.1270,0.0834,-0.0404
