date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2025-03-25,AAPL,2025-04-11,180.00,Call,40.85,42.45,0.6034,0.9443,0.0037,-0.1010,0.0543,0.0821
2025-03-25,AAPL,2025-04-11,180.00,Put,0.14,0.17,0.4545,-0.0185,0.0020,-0.0277,0.0222,-0.0020
2025-03-25,AAPL,2025-04-11,185.00,Call,34.80,37.50,0.4232,0.9729,0.0029,-0.0460,0.0297,0.0880
2025-03-25,AAPL,2025-04-11,185.00,Put,0.19,0.21,0.4188,-0.0249,0.0028,-0.0328,0.0286,-0.0028
2025-03-25,AAPL,2025-04-11,190.00,Call,30.80,31.55,0.3733,0.9681,0.0038,-0.0471,0.0342,0.0899
2025-03-25,AAPL,2025-04-11,190.00,Put,0.26,0.29,0.3865,-0.0354,0.0041,-0.0405,0.0382,-0.0039
2025-03-25,AAPL,2025-04-11,195.00,Call,25.15,27.60,0.3602,0.9450,0.0062,-0.0656,0.0537,0.0897
2025-03-25,AAPL,2025-04-11,195.00,Put,0.38,0.41,0.3562,-0.0521,0.0061,-0.0508,0.0522,-0.0058
2025-03-25,AAPL,2025-04-11,202.50,Call,18.90,19.55,0.3157,0.8995,0.0113,-0.0871,0.0856,0.0883
2025-03-25,AAPL,2025-04-11,202.50,Put,0.75,0.95,0.3270,-0.1071,0.0115,-0.0803,0.0903,-0.0120
2025-03-25,AAPL,2025-04-11,205.00,Call,16.60,17.25,0.3030,0.8745,0.0138,-0.0965,0.1005,0.0867
2025-03-25,AAPL,2025-04-11,205.00,Put,0.88,1.05,0.3049,-0.1258,0.0139,-0.0841,0.1061,-0.0131
2025-03-25,AAPL,2025-04-11,210.00,Call,12.25,12.90,0.2830,0.8002,0.0201,-0.1186,0.1366,0.0808
2025-03-25,AAPL,2025-04-11,210.00,Put,1.49,1.77,0.2860,-0.2014,0.0201,-0.1067,0.1415,-0.0207
2025-03-25,AAPL,2025-04-11,215.00,Call,8.40,9.10,0.2704,0.6872,0.0266,-0.1400,0.1732,0.0704
2025-03-25,AAPL,2025-04-11,215.00,Put,2.59,2.88,0.2689,-0.3121,0.0270,-0.1252,0.1727,-0.0315
2025-03-25,AAPL,2025-04-11,220.00,Call,5.45,5.60,0.2568,0.5430,0.0314,-0.1465,0.1941,0.0563
2025-03-25,AAPL,2025-04-11,220.00,Put,4.50,4.75,0.2614,-0.4586,0.0312,-0.1348,0.1944,-0.0445
2025-03-25,AAPL,2025-04-11,222.50,Call,3.90,4.40,0.2478,0.4620,0.0326,-0.1407,0.1944,0.0482
2025-03-25,AAPL,2025-04-11,222.50,Put,4.70,6.25,0.2382,-0.5426,0.0344,-0.1212,0.1942,-0.0506
2025-03-25,AAPL,2025-04-11,227.50,Call,2.03,2.39,0.2404,0.3028,0.0296,-0.1188,0.1710,0.0318
2025-03-25,AAPL,2025-04-11,227.50,Put,7.70,9.85,0.2431,-0.6991,0.0299,-0.1060,0.1711,-0.0598
2025-03-25,AAPL,2025-04-11,232.50,Call,0.80,1.22,0.2328,0.1697,0.0221,-0.0826,0.1238,0.0179
2025-03-25,AAPL,2025-04-11,232.50,Put,12.50,13.95,0.2839,-0.7853,0.0217,-0.1028,0.1411,-0.0631
2025-03-25,AAPL,2025-04-11,237.50,Call,0.41,0.45,0.2314,0.0845,0.0136,-0.0501,0.0759,0.0089
2025-03-25,AAPL,2025-04-11,237.50,Put,16.85,19.05,0.3286,-0.8345,0.0161,-0.1008,0.1258,-0.0640
2025-03-25,AAPL,2025-04-11,240.00,Call,0.27,0.30,0.2338,0.0590,0.0102,-0.0383,0.0576,0.0062
2025-03-25,AAPL,2025-04-11,240.00,Put,19.25,21.30,0.3433,-0.8574,0.0140,-0.0948,0.1155,-0.0635
2025-03-25,AAPL,2025-04-11,245.00,Call,0.12,0.14,0.2415,0.0290,0.0055,-0.0222,0.0324,0.0030
2025-03-25,AAPL,2025-04-11,245.00,Put,23.25,26.45,0.3532,-0.9057,0.0105,-0.0705,0.0833,-0.0585
2025-03-25,AAPL,2025-04-11,250.00,Call,0.06,0.09,0.2579,0.0168,0.0033,-0.0149,0.0204,0.0017
2025-03-25,AAPL,2025-04-11,250.00,Put,28.10,31.40,0.3889,-0.9236,0.0083,-0.0657,0.0692,-0.0565
2025-03-25,AAPL,2025-04-11,255.00,Call,0.04,0.05,0.2738,0.0100,0.0020,-0.0101,0.0131,0.0010
2025-03-25,AAPL,2025-04-11,255.00,Put,34.25,36.45,0.5113,-0.8900,0.0078,-0.1191,0.0941,-0.0672
2025-03-25,AAPL,2025-04-11,265.00,Call,0.02,0.03,0.4995,0.0568,0.0046,-0.0784,0.0559,0.0059
2025-03-25,AAPL,2025-04-11,265.00,Put,44.25,45.00,0.4995,-0.9494,0.0048,-0.0604,0.0504,-0.0531
2025-03-25,AAPL,2025-04-11,270.00,Call,0.02,0.84,0.5399,0.0535,0.0041,-0.0809,0.0533,0.0055
2025-03-25,AAPL,2025-04-11,270.00,Put,49.25,50.00,0.5399,-0.9525,0.0042,-0.0623,0.0504,-0.0533
2025-03-25,AAPL,2025-04-25,180.00,Call,41.35,42.10,0.4379,0.9499,0.0035,-0.0562,0.0659,0.1471
2025-03-25,AAPL,2025-04-25,180.00,Put,0.26,0.34,0.3819,-0.0298,0.0027,-0.0258,0.0442,-0.0060
2025-03-25,AAPL,2025-04-25,185.00,Call,36.35,37.30,0.4013,0.9401,0.0044,-0.0594,0.0763,0.1495
2025-03-25,AAPL,2025-04-25,185.00,Put,0.35,0.41,0.3544,-0.0392,0.0036,-0.0299,0.0553,-0.0079
2025-03-25,AAPL,2025-04-25,190.00,Call,31.35,32.30,0.3510,0.9342,0.0054,-0.0571,0.0821,0.1528
2025-03-25,AAPL,2025-04-25,190.00,Put,0.52,0.59,0.3363,-0.0569,0.0052,-0.0382,0.0746,-0.0114
2025-03-25,AAPL,2025-04-25,195.00,Call,25.95,27.75,0.3041,0.9251,0.0070,-0.0558,0.0910,0.1554
2025-03-25,AAPL,2025-04-25,195.00,Put,0.75,0.81,0.3151,-0.0801,0.0072,-0.0466,0.1009,-0.0151
2025-03-25,AAPL,2025-04-25,200.00,Call,22.05,23.00,0.3113,0.8723,0.0101,-0.0780,0.1354,0.1489
2025-03-25,AAPL,2025-04-25,200.00,Put,1.09,1.22,0.2977,-0.1166,0.0101,-0.0578,0.1332,-0.0218
2025-03-25,AAPL,2025-04-25,205.00,Call,17.60,18.65,0.2930,0.8211,0.0135,-0.0895,0.1698,0.1429
2025-03-25,AAPL,2025-04-25,205.00,Put,1.60,1.94,0.2840,-0.1711,0.0137,-0.0710,0.1703,-0.0316
2025-03-25,AAPL,2025-04-25,210.00,Call,13.55,14.05,0.2662,0.7579,0.0178,-0.0958,0.2033,0.1345
2025-03-25,AAPL,2025-04-25,210.00,Put,2.48,2.66,0.2655,-0.2413,0.0181,-0.0807,0.2018,-0.0438
2025-03-25,AAPL,2025-04-25,215.00,Call,10.00,10.30,0.2556,0.6611,0.0218,-0.1053,0.2385,0.1189
2025-03-25,AAPL,2025-04-25,215.00,Put,3.75,4.00,0.2534,-0.3386,0.0223,-0.0894,0.2390,-0.0599
2025-03-25,AAPL,2025-04-25,220.00,Call,6.80,7.15,0.2435,0.5454,0.0248,-0.1068,0.2585,0.0993
2025-03-25,AAPL,2025-04-25,220.00,Put,5.55,5.80,0.2407,-0.4566,0.0255,-0.0905,0.2588,-0.0776
2025-03-25,AAPL,2025-04-25,225.00,Call,4.10,4.70,0.2315,0.4165,0.0257,-0.0987,0.2546,0.0767
2025-03-25,AAPL,2025-04-25,225.00,Put,8.05,8.40,0.2334,-0.5873,0.0261,-0.0842,0.2555,-0.0937
2025-03-25,AAPL,2025-04-25,230.00,Call,2.55,2.69,0.2257,0.2923,0.0232,-0.0838,0.2243,0.0542
2025-03-25,AAPL,2025-04-25,230.00,Put,10.90,12.00,0.2273,-0.7143,0.0239,-0.0691,0.2226,-0.1025
2025-03-25,AAPL,2025-04-25,235.00,Call,1.31,1.49,0.2188,0.1846,0.0186,-0.0625,0.1741,0.0344
2025-03-25,AAPL,2025-04-25,235.00,Put,14.65,15.95,0.2226,-0.8234,0.0195,-0.0488,0.1684,-0.0996
2025-03-25,AAPL,2025-04-25,240.00,Call,0.64,0.74,0.2142,0.1056,0.0130,-0.0416,0.1193,0.0198
2025-03-25,AAPL,2025-04-25,240.00,Put,19.10,21.60,0.2724,-0.8442,0.0146,-0.0559,0.1536,-0.1027
2025-03-25,AAPL,2025-04-25,245.00,Call,0.33,0.38,0.2166,0.0597,0.0083,-0.0272,0.0775,0.0112
