date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2025-04-15,AAPL,2025-05-02,160.00,Call,42.15,44.80,0.7870,0.9280,0.0039,-0.1419,0.0591,0.0671
2025-04-15,AAPL,2025-05-02,160.00,Put,0.57,0.62,0.6769,-0.0461,0.0032,-0.0834,0.0422,-0.0046
2025-04-15,AAPL,2025-05-02,165.00,Call,37.85,38.80,0.6797,0.9276,0.0045,-0.1244,0.0593,0.0695
2025-04-15,AAPL,2025-05-02,165.00,Put,0.76,0.88,0.6490,-0.0630,0.0043,-0.1023,0.0540,-0.0063
2025-04-15,AAPL,2025-05-02,172.50,Call,30.85,31.60,0.6158,0.8968,0.0066,-0.1469,0.0776,0.0699
2025-04-15,AAPL,2025-05-02,172.50,Put,1.17,1.22,0.5911,-0.0935,0.0064,-0.1259,0.0725,-0.0088
2025-04-15,AAPL,2025-05-02,177.50,Call,26.45,27.10,0.5933,0.8610,0.0085,-0.1740,0.0960,0.0686
2025-04-15,AAPL,2025-05-02,177.50,Put,1.58,1.70,0.5631,-0.1265,0.0084,-0.1489,0.0928,-0.0119
2025-04-15,AAPL,2025-05-02,182.50,Call,21.90,22.75,0.5550,0.8214,0.0107,-0.1916,0.1134,0.0669
2025-04-15,AAPL,2025-05-02,182.50,Put,1.98,2.46,0.5334,-0.1689,0.0108,-0.1711,0.1140,-0.0157
2025-04-15,AAPL,2025-05-02,185.00,Call,20.00,20.35,0.5370,0.7969,0.0120,-0.2005,0.1228,0.0656
2025-04-15,AAPL,2025-05-02,185.00,Put,2.55,2.65,0.5201,-0.1952,0.0122,-0.1826,0.1245,-0.0181
2025-04-15,AAPL,2025-05-02,190.00,Call,15.85,16.50,0.5108,0.7344,0.0146,-0.2206,0.1427,0.0616
2025-04-15,AAPL,2025-05-02,190.00,Put,3.50,3.70,0.4967,-0.2597,0.0150,-0.2043,0.1440,-0.0239
2025-04-15,AAPL,2025-05-02,195.00,Call,12.25,12.60,0.4808,0.6587,0.0174,-0.2319,0.1598,0.0562
2025-04-15,AAPL,2025-05-02,195.00,Put,4.80,5.00,0.4716,-0.3383,0.0178,-0.2180,0.1600,-0.0307
2025-04-15,AAPL,2025-05-02,197.50,Call,10.50,10.90,0.4667,0.6149,0.0187,-0.2342,0.1665,0.0529
2025-04-15,AAPL,2025-05-02,197.50,Put,5.60,6.05,0.4671,-0.3846,0.0188,-0.2252,0.1661,-0.0347
2025-04-15,AAPL,2025-05-02,202.50,Call,7.60,7.90,0.4484,0.5168,0.0203,-0.2339,0.1737,0.0450
2025-04-15,AAPL,2025-05-02,202.50,Put,7.65,8.05,0.4478,-0.4831,0.0205,-0.2242,0.1737,-0.0425
2025-04-15,AAPL,2025-05-02,205.00,Call,6.35,6.55,0.4387,0.4647,0.0207,-0.2279,0.1732,0.0407
2025-04-15,AAPL,2025-05-02,205.00,Put,8.75,9.20,0.4336,-0.5362,0.0211,-0.2155,0.1732,-0.0465
2025-04-15,AAPL,2025-05-02,210.00,Call,4.10,4.35,0.4182,0.3579,0.0204,-0.2037,0.1628,0.0317
2025-04-15,AAPL,2025-05-02,210.00,Put,11.30,12.60,0.4256,-0.6399,0.0203,-0.1978,0.1605,-0.0533
2025-04-15,AAPL,2025-05-02,215.00,Call,2.46,2.73,0.4018,0.2566,0.0183,-0.1686,0.1405,0.0229
2025-04-15,AAPL,2025-05-02,215.00,Put,14.65,15.75,0.4021,-0.7451,0.0185,-0.1581,0.1432,-0.0580
2025-04-15,AAPL,2025-05-02,217.50,Call,1.88,2.06,0.3939,0.2105,0.0167,-0.1479,0.1259,0.0189
