date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2025-04-09,AAPL,2025-04-25,160.00,Call,37.65,41.70,0.7953,0.9141,0.0046,-0.1622,0.0643,0.0620
2025-04-09,AAPL,2025-04-25,160.00,Put,0.80,1.00,0.7152,-0.0653,0.0042,-0.1174,0.0528,-0.0060
2025-04-09,AAPL,2025-04-25,165.00,Call,33.25,36.90,0.7610,0.8906,0.0058,-0.1860,0.0770,0.0620
2025-04-09,AAPL,2025-04-25,165.00,Put,0.98,1.08,0.6557,-0.0790,0.0054,-0.1245,0.0611,-0.0073
2025-04-09,AAPL,2025-04-25,170.00,Call,28.15,32.25,0.6838,0.8737,0.0072,-0.1856,0.0853,0.0626
2025-04-09,AAPL,2025-04-25,170.00,Put,1.26,1.41,0.6163,-0.1035,0.0070,-0.1428,0.0746,-0.0095
2025-04-09,AAPL,2025-04-25,175.00,Call,23.75,27.45,0.6326,0.8433,0.0090,-0.1992,0.0990,0.0620
2025-04-09,AAPL,2025-04-25,175.00,Put,1.68,1.86,0.5803,-0.1368,0.0091,-0.1641,0.0888,-0.0119
2025-04-09,AAPL,2025-04-25,180.00,Call,19.35,22.00,0.5428,0.8181,0.0116,-0.1889,0.1090,0.0620
2025-04-09,AAPL,2025-04-25,180.00,Put,2.32,2.52,0.5503,-0.1833,0.0116,-0.1884,0.1091,-0.0158
2025-04-09,AAPL,2025-04-25,182.50,Call,18.95,19.40,0.5770,0.7726,0.0125,-0.2286,0.1247,0.0587
2025-04-09,AAPL,2025-04-25,182.50,Put,2.73,2.88,0.5338,-0.2108,0.0130,-0.1988,0.1191,-0.0181
2025-04-09,AAPL,2025-04-25,187.50,Call,14.95,16.00,0.5616,0.7039,0.0147,-0.2547,0.1430,0.0543
2025-04-09,AAPL,2025-04-25,187.50,Put,3.70,3.95,0.5050,-0.2785,0.0160,-0.2182,0.1377,-0.0237
2025-04-09,AAPL,2025-04-25,190.00,Call,11.50,15.00,0.5202,0.6730,0.0166,-0.2465,0.1494,0.0526
2025-04-09,AAPL,2025-04-25,190.00,Put,4.15,5.70,0.5222,-0.3263,0.0167,-0.2422,0.1518,-0.0276
2025-04-09,AAPL,2025-04-25,195.00,Call,9.50,11.15,0.5207,0.5832,0.0180,-0.2664,0.1617,0.0461
2025-04-09,AAPL,2025-04-25,195.00,Put,5.90,6.20,0.4639,-0.4107,0.0202,-0.2312,0.1619,-0.0341
2025-04-09,AAPL,2025-04-25,200.00,Call,5.50,7.30,0.4325,0.4815,0.0221,-0.2263,0.1652,0.0390
2025-04-09,AAPL,2025-04-25,200.00,Put,7.90,9.80,0.4820,-0.5121,0.0200,-0.2456,0.1659,-0.0419
2025-04-09,AAPL,2025-04-25,202.50,Call,5.70,5.90,0.4599,0.4337,0.0205,-0.2371,0.1631,0.0351
