date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2025-04-04,AAPL,2025-04-17,150.00,Call,39.35,41.20,0.9927,0.9075,0.0047,-0.2622,0.0595,0.0464
2025-04-04,AAPL,2025-04-17,150.00,Put,1.32,1.39,0.9363,-0.0827,0.0046,-0.1919,0.0562,-0.0056
2025-04-04,AAPL,2025-04-17,155.00,Call,34.75,36.20,0.9145,0.8910,0.0058,-0.2703,0.0669,0.0470
2025-04-04,AAPL,2025-04-17,155.00,Put,1.60,1.70,0.8808,-0.1028,0.0057,-0.2117,0.0646,-0.0070
2025-04-04,AAPL,2025-04-17,160.00,Call,30.20,31.55,0.8582,0.8652,0.0071,-0.2903,0.0775,0.0469
2025-04-04,AAPL,2025-04-17,160.00,Put,1.97,2.07,0.8258,-0.1283,0.0071,-0.2316,0.0735,-0.0087
2025-04-04,AAPL,2025-04-17,165.00,Call,25.75,27.05,0.8055,0.8320,0.0088,-0.3111,0.0896,0.0463
2025-04-04,AAPL,2025-04-17,165.00,Put,2.47,2.59,0.7770,-0.1620,0.0089,-0.2544,0.0905,-0.0108
2025-04-04,AAPL,2025-04-17,170.00,Call,21.80,22.15,0.7448,0.7925,0.0108,-0.3245,0.1020,0.0452
2025-04-04,AAPL,2025-04-17,170.00,Put,3.15,3.30,0.7319,-0.2059,0.0110,-0.2771,0.0999,-0.0137
2025-04-04,AAPL,2025-04-17,175.00,Call,17.65,18.10,0.6992,0.7385,0.0131,-0.3418,0.1158,0.0431
2025-04-04,AAPL,2025-04-17,175.00,Put,4.05,4.25,0.6900,-0.2615,0.0133,-0.2967,0.1158,-0.0171
2025-04-04,AAPL,2025-04-17,180.00,Call,13.95,14.30,0.6616,0.6705,0.0154,-0.3554,0.1288,0.0398
2025-04-04,AAPL,2025-04-17,180.00,Put,5.30,5.50,0.6534,-0.3307,0.0157,-0.3110,0.1291,-0.0213
2025-04-04,AAPL,2025-04-17,185.00,Call,10.60,10.85,0.6253,0.5898,0.0175,-0.3571,0.1382,0.0356
2025-04-04,AAPL,2025-04-17,185.00,Put,6.90,7.10,0.6176,-0.4130,0.0179,-0.3131,0.1382,-0.0260
2025-04-04,AAPL,2025-04-17,190.00,Call,7.65,7.90,0.5924,0.4977,0.0189,-0.3440,0.1418,0.0305
2025-04-04,AAPL,2025-04-17,190.00,Put,8.90,9.40,0.5920,-0.5067,0.0192,-0.3041,0.1421,-0.0309
2025-04-04,AAPL,2025-04-17,192.50,Call,6.30,6.60,0.5744,0.4482,0.0194,-0.3295,0.1405,0.0277
2025-04-04,AAPL,2025-04-17,192.50,Put,9.50,10.85,0.5627,-0.5589,0.0201,-0.2831,0.1392,-0.0332
2025-04-04,AAPL,2025-04-17,195.00,Call,5.25,5.40,0.5620,0.3985,0.0193,-0.3133,0.1371,0.0248
2025-04-04,AAPL,2025-04-17,195.00,Put,11.40,11.95,0.5585,-0.6082,0.0198,-0.2713,0.1361,-0.0353
2025-04-04,AAPL,2025-04-17,200.00,Call,3.35,3.45,0.5334,0.2986,0.0183,-0.2655,0.1232,0.0187
2025-04-04,AAPL,2025-04-17,200.00,Put,14.45,14.95,0.5238,-0.7134,0.0189,-0.2195,0.1188,-0.0382
2025-04-04,AAPL,2025-04-17,202.50,Call,2.55,2.73,0.5203,0.2511,0.0172,-0.2371,0.1131,0.0158
2025-04-04,AAPL,2025-04-17,202.50,Put,16.20,16.60,0.5048,-0.7660,0.0180,-0.1867,0.1106,-0.0386
2025-04-04,AAPL,2025-04-17,207.50,Call,1.50,1.61,0.5032,0.1700,0.0141,-0.1812,0.0898,0.0108
2025-04-04,AAPL,2025-04-17,207.50,Put,19.50,21.35,0.4912,-0.8489,0.0147,-0.1328,0.0837,-0.0369
2025-04-04,AAPL,2025-04-17,212.50,Call,0.86,0.92,0.4938,0.1094,0.0106,-0.1310,0.0665,0.0070
2025-04-04,AAPL,2025-04-17,212.50,Put,22.85,25.75,0.4938,-0.9061,0.0113,-0.0908,0.0621,-0.0323
2025-04-04,AAPL,2025-04-17,217.50,Call,0.50,0.54,0.4939,0.0696,0.0076,-0.0931,0.0474,0.0044
2025-04-04,AAPL,2025-04-17,217.50,Put,27.65,30.45,0.4939,-0.9486,0.0082,-0.0527,0.0375,-0.0245
2025-04-04,AAPL,2025-04-17,222.50,Call,0.28,0.35,0.5006,0.0447,0.0053,-0.0663,0.0334,0.0028
2025-04-04,AAPL,2025-04-17,222.50,Put,32.40,35.35,0.5006,-0.9760,0.0059,-0.0254,0.0208,-0.0145
2025-04-04,AAPL,2025-04-17,225.00,Call,0.22,0.26,0.5024,0.0351,0.0043,-0.0547,0.0275,0.0022
2025-04-04,AAPL,2025-04-17,225.00,Put,34.95,37.40,0.5024,-0.9869,0.0050,-0.0135,0.0132,-0.0082
2025-04-04,AAPL,2025-05-02,150.00,Call,39.30,43.25,0.6855,0.9137,0.0046,-0.1544,0.0859,0.1001
2025-04-04,AAPL,2025-05-02,150.00,Put,1.63,2.96,0.7543,-0.1102,0.0048,-0.1263,0.1017,-0.0162
2025-04-04,AAPL,2025-05-02,155.00,Call,34.70,39.00,0.6696,0.8865,0.0057,-0.1722,0.1037,0.0996
2025-04-04,AAPL,2025-05-02,155.00,Put,1.98,3.60,0.7217,-0.1343,0.0058,-0.1382,0.1147,-0.0197
2025-04-04,AAPL,2025-05-02,160.00,Call,30.50,34.50,0.6478,0.8556,0.0069,-0.1875,0.1216,0.0985
2025-04-04,AAPL,2025-05-02,160.00,Put,3.40,3.55,0.6962,-0.1651,0.0069,-0.1521,0.1283,-0.0240
2025-04-04,AAPL,2025-05-02,165.00,Call,26.15,30.40,0.6241,0.8191,0.0082,-0.2012,0.1399,0.0965
2025-04-04,AAPL,2025-05-02,165.00,Put,3.05,5.00,0.6520,-0.1960,0.0082,-0.1575,0.1419,-0.0281
2025-04-04,AAPL,2025-05-02,170.00,Call,22.60,26.60,0.6240,0.7692,0.0095,-0.2220,0.1609,0.0921
2025-04-04,AAPL,2025-05-02,170.00,Put,4.35,6.10,0.6408,-0.2426,0.0094,-0.1739,0.1649,-0.0345
2025-04-04,AAPL,2025-05-02,175.00,Call,18.85,22.70,0.5993,0.7198,0.0109,-0.2302,0.1775,0.0879
2025-04-04,AAPL,2025-05-02,175.00,Put,5.45,7.20,0.6105,-0.2909,0.0109,-0.1798,0.1772,-0.0406
2025-04-04,AAPL,2025-05-02,180.00,Call,15.40,19.10,0.5780,0.6626,0.0122,-0.2355,0.1921,0.0823
2025-04-04,AAPL,2025-05-02,180.00,Put,7.05,8.50,0.5869,-0.3480,0.0123,-0.1842,0.1939,-0.0476
2025-04-04,AAPL,2025-05-02,185.00,Call,12.25,15.45,0.5492,0.5992,0.0136,-0.2328,0.2028,0.0758
2025-04-04,AAPL,2025-05-02,185.00,Put,9.65,10.95,0.6032,-0.4139,0.0127,-0.1982,0.2041,-0.0557
2025-04-04,AAPL,2025-05-02,190.00,Call,10.65,11.75,0.5419,0.5294,0.0141,-0.2318,0.2085,0.0677
2025-04-04,AAPL,2025-05-02,190.00,Put,10.80,12.00,0.5332,-0.4839,0.0148,-0.1743,0.2081,-0.0621
2025-04-04,AAPL,2025-05-02,195.00,Call,8.10,9.45,0.5289,0.4576,0.0144,-0.2222,0.2076,0.0592
2025-04-04,AAPL,2025-05-02,195.00,Put,12.10,15.90,0.5199,-0.5593,0.0152,-0.1645,0.2057,-0.0688
2025-04-04,AAPL,2025-05-02,200.00,Call,5.35,6.60,0.4796,0.3729,0.0152,-0.1909,0.1979,0.0492
2025-04-04,AAPL,2025-05-02,200.00,Put,14.50,18.55,0.4840,-0.6448,0.0158,-0.1391,0.1945,-0.0733
2025-04-04,AAPL,2025-05-02,205.00,Call,3.30,5.40,0.4696,0.3000,0.0142,-0.1696,0.1816,0.0399
2025-04-04,AAPL,2025-05-02,205.00,Put,18.10,22.55,0.4948,-0.7101,0.0145,-0.1277,0.1760,-0.0760
2025-04-04,AAPL,2025-05-02,210.00,Call,2.90,3.50,0.4683,0.2380,0.0127,-0.1489,0.1616,0.0318
2025-04-04,AAPL,2025-05-02,210.00,Put,21.70,25.00,0.4360,-0.8132,0.0142,-0.0803,0.1401,-0.0692
2025-04-04,AAPL,2025-05-02,215.00,Call,2.00,2.26,0.4537,0.1769,0.0110,-0.1200,0.1354,0.0238
2025-04-04,AAPL,2025-05-02,215.00,Put,26.00,29.65,0.4493,-0.8615,0.0122,-0.0653,0.1161,-0.0638
2025-04-04,AAPL,2025-05-02,220.00,Call,1.25,1.75,0.4534,0.1332,0.0091,-0.0986,0.1122,0.0180
2025-04-04,AAPL,2025-05-02,220.00,Put,30.25,33.95,0.4140,-0.9402,0.0105,-0.0275,0.0614,-0.0382
2025-04-04,AAPL,2025-05-02,225.00,Call,0.80,1.34,0.4565,0.1001,0.0073,-0.0805,0.0916,0.0136
2025-04-04,AAPL,2025-05-02,225.00,Put,34.80,39.10,0.4209,-0.9741,0.0083,-0.0104,0.0311,-0.0170
2025-04-04,AAPL,2025-05-23,150.00,Call,40.00,44.50,0.5763,0.8951,0.0047,-0.1091,0.1298,0.1693
2025-04-04,AAPL,2025-05-23,150.00,Put,1.00,4.80,0.6187,-0.1241,0.0048,-0.0844,0.1480,-0.0320
2025-04-04,AAPL,2025-05-23,155.00,Call,36.05,40.30,0.5784,0.8623,0.0056,-0.1238,0.1557,0.1664
