Index,name,value,term
2020-10-08,ZQU24.CBT.Low,99.94499969482422,2024 Sep
2020-10-08,ZQU24.CBT.Close,99.94499969482422,2024 Sep
2020-10-08,ZQU24.CBT.Volume,0,2024 Sep
2020-10-08,ZQU24.CBT.Adjusted,99.94499969482422,2024 Sep
2020-10-09,ZQU24.CBT.Open,99.94499969482422,2024 Sep
2020-10-09,ZQU24.CBT.High,99.94499969482422,2024 Sep
2020-10-09,ZQU24.CBT.Low,99.94499969482422,2024 Sep
2020-10-09,ZQU24.CBT.Close,99.94499969482422,2024 Sep
2020-10-09,ZQU24.CBT.Volume,0,2024 Sep
2020-10-09,ZQU24.CBT.Adjusted,99.94499969482422,2024 Sep
2020-10-12,ZQU24.CBT.Open,99.94000244140625,2024 Sep
2020-10-12,ZQU24.CBT.High,99.94000244140625,2024 Sep
2020-10-12,ZQU24.CBT.Low,99.94000244140625,2024 Sep
2020-10-12,ZQU24.CBT.Close,99.94000244140625,2024 Sep
2020-10-12,ZQU24.CBT.Volume,0,2024 Sep
2020-10-12,ZQU24.CBT.Adjusted,99.94000244140625,2024 Sep
2020-10-13,ZQU24.CBT.Open,99.94999694824219,2024 Sep
2020-10-13,ZQU24.CBT.High,99.94999694824219,2024 Sep
2020-10-13,ZQU24.CBT.Low,99.94999694824219,2024 Sep
2020-10-13,ZQU24.CBT.Close,99.94999694824219,2024 Sep
2020-10-13,ZQU24.CBT.Volume,0,2024 Sep
2020-10-13,ZQU24.CBT.Adjusted,99.94999694824219,2024 Sep
2020-10-14,ZQU24.CBT.Open,99.94999694824219,2024 Sep
2020-10-14,ZQU24.CBT.High,99.94999694824219,2024 Sep
2020-10-14,ZQU24.CBT.Low,99.94999694824219,2024 Sep
2020-10-14,ZQU24.CBT.Close,99.94999694824219,2024 Sep
2020-10-14,ZQU24.CBT.Volume,0,2024 Sep
2020-10-14,ZQU24.CBT.Adjusted,99.94999694824219,2024 Sep
2020-10-15,ZQU24.CBT.Open,99.94999694824219,2024 Sep
2020-10-15,ZQU24.CBT.High,99.94999694824219,2024 Sep
2020-10-15,ZQU24.CBT.Low,99.94999694824219,2024 Sep
2020-10-15,ZQU24.CBT.Close,99.94999694824219,2024 Sep
2020-10-15,ZQU24.CBT.Volume,0,2024 Sep
2020-10-15,ZQU24.CBT.Adjusted,99.94999694824219,2024 Sep
2020-10-16,ZQU24.CBT.Open,99.94499969482422,2024 Sep
2020-10-16,ZQU24.CBT.High,99.94499969482422,2024 Sep
2020-10-16,ZQU24.CBT.Low,99.94499969482422,2024 Sep
2020-10-16,ZQU24.CBT.Close,99.94499969482422,2024 Sep
2020-10-16,ZQU24.CBT.Volume,0,2024 Sep
2020-10-16,ZQU24.CBT.Adjusted,99.94499969482422,2024 Sep
2020-10-19,ZQU24.CBT.Open,99.94499969482422,2024 Sep
2020-10-19,ZQU24.CBT.High,99.94499969482422,2024 Sep
2020-10-19,ZQU24.CBT.Low,99.94499969482422,2024 Sep
2020-10-19,ZQU24.CBT.Close,99.94499969482422,2024 Sep
2020-10-19,ZQU24.CBT.Volume,0,2024 Sep
2020-10-19,ZQU24.CBT.Adjusted,99.94499969482422,2024 Sep
2020-10-20,ZQU24.CBT.Open,99.94000244140625,2024 Sep
2020-10-20,ZQU24.CBT.High,99.94000244140625,2024 Sep
2020-10-20,ZQU24.CBT.Low,99.94000244140625,2024 Sep
2020-10-20,ZQU24.CBT.Close,99.94000244140625,2024 Sep
2020-10-20,ZQU24.CBT.Volume,0,2024 Sep
2020-10-20,ZQU24.CBT.Adjusted,99.94000244140625,2024 Sep
2020-10-21,ZQU24.CBT.Open,99.93499755859375,2024 Sep
2020-10-21,ZQU24.CBT.High,99.93499755859375,2024 Sep
2020-10-21,ZQU24.CBT.Low,99.93499755859375,2024 Sep
2020-10-21,ZQU24.CBT.Close,99.93499755859375,2024 Sep
2020-10-21,ZQU24.CBT.Volume,0,2024 Sep
2020-10-21,ZQU24.CBT.Adjusted,99.93499755859375,2024 Sep
2020-10-22,ZQU24.CBT.Open,99.93000030517578,2024 Sep
2020-10-22,ZQU24.CBT.High,99.93000030517578,2024 Sep
2020-10-22,ZQU24.CBT.Low,99.93000030517578,2024 Sep
2020-10-22,ZQU24.CBT.Close,99.93000030517578,2024 Sep
2020-10-22,ZQU24.CBT.Volume,0,2024 Sep
2020-10-22,ZQU24.CBT.Adjusted,99.93000030517578,2024 Sep
2020-10-23,ZQU24.CBT.Open,99.93499755859375,2024 Sep
2020-10-23,ZQU24.CBT.High,99.93499755859375,2024 Sep
2020-10-23,ZQU24.CBT.Low,99.93499755859375,2024 Sep
2020-10-23,ZQU24.CBT.Close,99.93499755859375,2024 Sep
2020-10-23,ZQU24.CBT.Volume,0,2024 Sep
2020-10-23,ZQU24.CBT.Adjusted,99.93499755859375,2024 Sep
2020-10-26,ZQU24.CBT.Open,99.94499969482422,2024 Sep
2020-10-26,ZQU24.CBT.High,99.94499969482422,2024 Sep
2020-10-26,ZQU24.CBT.Low,99.94499969482422,2024 Sep
2020-10-26,ZQU24.CBT.Close,99.94499969482422,2024 Sep
2020-10-26,ZQU24.CBT.Volume,0,2024 Sep
2020-10-26,ZQU24.CBT.Adjusted,99.94499969482422,2024 Sep
2020-10-27,ZQU24.CBT.Open,99.94499969482422,2024 Sep
2020-10-27,ZQU24.CBT.High,99.94499969482422,2024 Sep
2020-10-27,ZQU24.CBT.Low,99.94499969482422,2024 Sep
2020-10-27,ZQU24.CBT.Close,99.94499969482422,2024 Sep
2020-10-27,ZQU24.CBT.Volume,0,2024 Sep
2020-10-27,ZQU24.CBT.Adjusted,99.94499969482422,2024 Sep
2020-10-28,ZQU24.CBT.Open,99.94499969482422,2024 Sep
2020-10-28,ZQU24.CBT.High,99.94499969482422,2024 Sep
2020-10-28,ZQU24.CBT.Low,99.94499969482422,2024 Sep
2020-10-28,ZQU24.CBT.Close,99.94499969482422,2024 Sep
2020-10-28,ZQU24.CBT.Volume,0,2024 Sep
2020-10-28,ZQU24.CBT.Adjusted,99.94499969482422,2024 Sep
2020-10-29,ZQU24.CBT.Open,99.94000244140625,2024 Sep
2020-10-29,ZQU24.CBT.High,99.94000244140625,2024 Sep
2020-10-29,ZQU24.CBT.Low,99.94000244140625,2024 Sep
2020-10-29,ZQU24.CBT.Close,99.94000244140625,2024 Sep
2020-10-29,ZQU24.CBT.Volume,0,2024 Sep
2020-10-29,ZQU24.CBT.Adjusted,99.94000244140625,2024 Sep
2020-10-30,ZQU24.CBT.Open,99.93499755859375,2024 Sep
2020-10-30,ZQU24.CBT.High,99.93499755859375,2024 Sep
