date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2025-04-16,AAPL,2025-05-02,155.00,Call,39.95,40.60,0.6873,0.9520,0.0036,-0.1129,0.0410,0.0634
2025-04-16,AAPL,2025-05-02,155.00,Put,0.62,0.67,0.6987,-0.0511,0.0036,-0.0916,0.0427,-0.0046
2025-04-16,AAPL,2025-05-02,160.00,Call,35.25,35.95,0.6719,0.9294,0.0049,-0.1408,0.0553,0.0635
2025-04-16,AAPL,2025-05-02,160.00,Put,0.87,0.92,0.6687,-0.0702,0.0049,-0.1121,0.0547,-0.0063
2025-04-16,AAPL,2025-05-02,165.00,Call,30.70,31.15,0.6378,0.9051,0.0065,-0.1619,0.0689,0.0635
2025-04-16,AAPL,2025-05-02,165.00,Put,1.19,1.27,0.6379,-0.0952,0.0065,-0.1348,0.0666,-0.0081
2025-04-16,AAPL,2025-05-02,170.00,Call,26.25,26.65,0.6145,0.8693,0.0085,-0.1902,0.0866,0.0624
2025-04-16,AAPL,2025-05-02,170.00,Put,1.69,1.76,0.6117,-0.1303,0.0085,-0.1612,0.0854,-0.0110
2025-04-16,AAPL,2025-05-02,175.00,Call,21.85,22.20,0.5785,0.8278,0.0108,-0.2111,0.1040,0.0608
2025-04-16,AAPL,2025-05-02,175.00,Put,2.33,2.41,0.5833,-0.1748,0.0109,-0.1862,0.1052,-0.0147
2025-04-16,AAPL,2025-05-02,177.50,Call,19.90,20.10,0.5710,0.7988,0.0121,-0.2268,0.1145,0.0592
2025-04-16,AAPL,2025-05-02,177.50,Put,2.74,2.85,0.5714,-0.2023,0.0122,-0.1993,0.1150,-0.0169
2025-04-16,AAPL,2025-05-02,182.50,Call,16.00,16.15,0.5483,0.7340,0.0147,-0.2499,0.1336,0.0554
2025-04-16,AAPL,2025-05-02,182.50,Put,3.75,3.90,0.5455,-0.2665,0.0149,-0.2206,0.1334,-0.0220
2025-04-16,AAPL,2025-05-02,187.50,Call,12.35,12.55,0.5234,0.6562,0.0173,-0.2639,0.1498,0.0504
2025-04-16,AAPL,2025-05-02,187.50,Put,5.15,5.30,0.5229,-0.3455,0.0174,-0.2358,0.1487,-0.0280
2025-04-16,AAPL,2025-05-02,190.00,Call,10.70,10.90,0.5122,0.6122,0.0184,-0.2673,0.1559,0.0473
2025-04-16,AAPL,2025-05-02,190.00,Put,5.95,6.15,0.5104,-0.3898,0.0186,-0.2386,0.1548,-0.0311
2025-04-16,AAPL,2025-05-02,195.00,Call,7.75,7.90,0.4894,0.5158,0.0200,-0.2632,0.1622,0.0404
2025-04-16,AAPL,2025-05-02,195.00,Put,8.00,8.15,0.4871,-0.4875,0.0203,-0.2339,0.1622,-0.0378
2025-04-16,AAPL,2025-05-02,197.50,Call,6.40,6.60,0.4769,0.4643,0.0204,-0.2546,0.1616,0.0366
2025-04-16,AAPL,2025-05-02,197.50,Put,9.15,9.35,0.4745,-0.5399,0.0208,-0.2252,0.1619,-0.0410
2025-04-16,AAPL,2025-05-02,202.50,Call,4.20,4.35,0.4542,0.3586,0.0202,-0.2264,0.1520,0.0286
2025-04-16,AAPL,2025-05-02,202.50,Put,11.95,12.15,0.4525,-0.6474,0.0206,-0.1971,0.1504,-0.0465
2025-04-16,AAPL,2025-05-02,205.00,Call,3.30,3.45,0.4437,0.3068,0.0194,-0.2073,0.1428,0.0246
2025-04-16,AAPL,2025-05-02,205.00,Put,13.50,13.75,0.4399,-0.7017,0.0200,-0.1766,0.1436,-0.0482
2025-04-16,AAPL,2025-05-02,210.00,Call,1.97,2.04,0.4267,0.2123,0.0167,-0.1637,0.1179,0.0171
2025-04-16,AAPL,2025-05-02,210.00,Put,17.15,17.40,0.4213,-0.8003,0.0172,-0.1316,0.1166,-0.0489
2025-04-16,AAPL,2025-05-02,212.50,Call,1.46,1.55,0.4195,0.1714,0.0149,-0.1408,0.1034,0.0139
2025-04-16,AAPL,2025-05-02,212.50,Put,18.35,19.75,0.3872,-0.8622,0.0154,-0.0909,0.0933,-0.0453
2025-04-16,AAPL,2025-05-02,217.50,Call,0.81,0.86,0.4113,0.1076,0.0110,-0.1000,0.0753,0.0087
2025-04-16,AAPL,2025-05-02,217.50,Put,23.45,24.40,0.4378,-0.8887,0.0119,-0.0881,0.0755,-0.0446
2025-04-16,AAPL,2025-05-02,225.00,Call,0.36,0.38,0.4163,0.0534,0.0064,-0.0591,0.0442,0.0043
2025-04-16,AAPL,2025-05-02,225.00,Put,30.20,31.90,0.4660,-0.9378,0.0080,-0.0573,0.0530,-0.0366
2025-04-16,AAPL,2025-05-02,230.00,Call,0.22,0.25,0.4283,0.0351,0.0044,-0.0432,0.0315,0.0028
2025-04-16,AAPL,2025-05-02,230.00,Put,34.90,36.70,0.4445,-0.9772,0.0054,-0.0209,0.0229,-0.0187
2025-04-16,AAPL,2025-05-02,235.00,Call,0.13,0.15,0.4353,0.0219,0.0029,-0.0296,0.0213,0.0018
2025-04-16,AAPL,2025-05-02,235.00,Put,39.30,42.10,0.4353,-0.9984,0.0017,0.0000,0.0012,0.0000
2025-04-16,AAPL,2025-05-16,155.00,Call,40.70,41.25,0.6020,0.9203,0.0043,-0.0950,0.0820,0.1132
2025-04-16,AAPL,2025-05-16,155.00,Put,1.24,1.32,0.6013,-0.0787,0.0043,-0.0803,0.0818,-0.0136
2025-04-16,AAPL,2025-05-16,160.00,Call,36.20,36.65,0.5828,0.8960,0.0055,-0.1100,0.1000,0.1131
2025-04-16,AAPL,2025-05-16,160.00,Put,1.63,1.67,0.5758,-0.1008,0.0055,-0.0926,0.1012,-0.0163
2025-04-16,AAPL,2025-05-16,165.00,Call,31.75,32.10,0.5576,0.8680,0.0068,-0.1230,0.1186,0.1123
2025-04-16,AAPL,2025-05-16,165.00,Put,2.13,2.18,0.5532,-0.1297,0.0068,-0.1062,0.1152,-0.0209
2025-04-16,AAPL,2025-05-16,170.00,Call,27.45,27.75,0.5359,0.8320,0.0083,-0.1372,0.1394,0.1101
2025-04-16,AAPL,2025-05-16,170.00,Put,2.78,2.86,0.5324,-0.1662,0.0084,-0.1203,0.1418,-0.0265
2025-04-16,AAPL,2025-05-16,175.00,Call,23.35,23.55,0.5143,0.7881,0.0100,-0.1503,0.1610,0.1065
2025-04-16,AAPL,2025-05-16,175.00,Put,3.60,3.70,0.5113,-0.2104,0.0102,-0.1333,0.1612,-0.0333
2025-04-16,AAPL,2025-05-16,180.00,Call,19.40,19.65,0.4935,0.7353,0.0118,-0.1615,0.1820,0.1013
2025-04-16,AAPL,2025-05-16,180.00,Put,4.70,4.80,0.4925,-0.2645,0.0120,-0.1449,0.1812,-0.0415
2025-04-16,AAPL,2025-05-16,185.00,Call,15.80,15.95,0.4736,0.6729,0.0136,-0.1694,0.2007,0.0943
2025-04-16,AAPL,2025-05-16,185.00,Put,6.00,6.15,0.4719,-0.3272,0.0138,-0.1523,0.2018,-0.0506
2025-04-16,AAPL,2025-05-16,190.00,Call,12.45,12.65,0.4545,0.6013,0.0152,-0.1727,0.2147,0.0857
2025-04-16,AAPL,2025-05-16,190.00,Put,7.65,7.80,0.4522,-0.3996,0.0154,-0.1550,0.2158,-0.0606
2025-04-16,AAPL,2025-05-16,195.00,Call,9.50,9.65,0.4351,0.5217,0.0164,-0.1696,0.2216,0.0754
2025-04-16,AAPL,2025-05-16,195.00,Put,9.65,9.85,0.4331,-0.4803,0.0167,-0.1517,0.2217,-0.0709
2025-04-16,AAPL,2025-05-16,200.00,Call,6.95,7.05,0.4159,0.4361,0.0169,-0.1594,0.2192,0.0638
2025-04-16,AAPL,2025-05-16,200.00,Put,12.10,12.30,0.4150,-0.5672,0.0173,-0.1416,0.2186,-0.0807
2025-04-16,AAPL,2025-05-16,205.00,Call,4.80,4.95,0.3977,0.3483,0.0166,-0.1425,0.2058,0.0516
2025-04-16,AAPL,2025-05-16,205.00,Put,14.95,15.20,0.3967,-0.6568,0.0170,-0.1243,0.2066,-0.0887
2025-04-16,AAPL,2025-05-16,210.00,Call,3.20,3.30,0.3829,0.2647,0.0153,-0.1210,0.1822,0.0396
2025-04-16,AAPL,2025-05-16,210.00,Put,18.30,18.55,0.3797,-0.7441,0.0158,-0.1015,0.1778,-0.0926
2025-04-16,AAPL,2025-05-16,215.00,Call,2.03,2.11,0.3707,0.1910,0.0131,-0.0970,0.1515,0.0287
2025-04-16,AAPL,2025-05-16,215.00,Put,22.05,22.50,0.3669,-0.8211,0.0137,-0.0769,0.1467,-0.0910
2025-04-16,AAPL,2025-05-16,220.00,Call,1.26,1.31,0.3629,0.1322,0.0105,-0.0744,0.1191,0.0200
2025-04-16,AAPL,2025-05-16,220.00,Put,26.30,26.75,0.3577,-0.8842,0.0111,-0.0532,0.1100,-0.0821
2025-04-16,AAPL,2025-05-16,225.00,Call,0.80,0.83,0.3619,0.0907,0.0081,-0.0565,0.0910,0.0138
2025-04-16,AAPL,2025-05-16,225.00,Put,30.85,31.35,0.3539,-0.9300,0.0085,-0.0339,0.0739,-0.0668
2025-04-16,AAPL,2025-05-16,230.00,Call,0.51,0.53,0.3636,0.0617,0.0060,-0.0422,0.0678,0.0094
2025-04-16,AAPL,2025-05-16,230.00,Put,35.55,36.10,0.3413,-0.9707,0.0062,-0.0144,0.0391,-0.0367
2025-04-16,AAPL,2025-05-16,235.00,Call,0.33,0.36,0.3690,0.0427,0.0044,-0.0319,0.0506,0.0065
2025-04-16,AAPL,2025-05-16,235.00,Put,40.40,41.00,0.3690,-0.9772,0.0050,-0.0119,0.0323,-0.0317
2025-04-16,AAPL,2025-06-20,155.00,Call,42.80,43.05,0.5120,0.8808,0.0047,-0.0763,0.1620,0.2282
2025-04-16,AAPL,2025-06-20,155.00,Put,2.54,2.60,0.5045,-0.1156,0.0047,-0.0596,0.1613,-0.0410
2025-04-16,AAPL,2025-06-20,160.00,Call,38.45,38.70,0.4955,0.8555,0.0055,-0.0832,0.1853,0.2272
2025-04-16,AAPL,2025-06-20,160.00,Put,3.10,3.20,0.4871,-0.1405,0.0056,-0.0658,0.1819,-0.0495
2025-04-16,AAPL,2025-06-20,165.00,Call,34.20,34.50,0.4793,0.8258,0.0065,-0.0898,0.2097,0.2245
2025-04-16,AAPL,2025-06-20,165.00,Put,3.80,3.95,0.4712,-0.1705,0.0066,-0.0720,0.2033,-0.0597
2025-04-16,AAPL,2025-06-20,170.00,Call,30.10,30.40,0.4626,0.7916,0.0075,-0.0956,0.2343,0.2200
2025-04-16,AAPL,2025-06-20,170.00,Put,4.70,4.80,0.4557,-0.2056,0.0076,-0.0778,0.2401,-0.0711
2025-04-16,AAPL,2025-06-20,175.00,Call,26.15,26.45,0.4456,0.7524,0.0086,-0.1005,0.2584,0.2134
2025-04-16,AAPL,2025-06-20,175.00,Put,5.70,5.85,0.4392,-0.2458,0.0088,-0.0824,0.2598,-0.0843
2025-04-16,AAPL,2025-06-20,180.00,Call,22.45,22.70,0.4302,0.7072,0.0097,-0.1045,0.2812,0.2044
2025-04-16,AAPL,2025-06-20,180.00,Put,6.95,7.10,0.4245,-0.2922,0.0099,-0.0863,0.2787,-0.0989
2025-04-16,AAPL,2025-06-20,185.00,Call,19.00,19.15,0.4152,0.6564,0.0107,-0.1070,0.3010,0.1931
2025-04-16,AAPL,2025-06-20,185.00,Put,8.45,8.60,0.4106,-0.3446,0.0110,-0.0887,0.3041,-0.1145
