date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2025-05-23,AAPL,2025-06-06,135.00,Call,59.60,61.25,0.7421,0.9955,0.0004,-0.0270,0.0048,0.0513
2025-05-23,AAPL,2025-06-06,135.00,Put,0.03,0.05,0.7421,-0.0043,0.0004,-0.0127,0.0048,-0.0003
2025-05-23,AAPL,2025-06-06,145.00,Call,50.10,51.25,0.7061,0.9871,0.0012,-0.0468,0.0125,0.0545
2025-05-23,AAPL,2025-06-06,145.00,Put,0.06,0.08,0.6537,-0.0081,0.0008,-0.0196,0.0084,-0.0006
2025-05-23,AAPL,2025-06-06,155.00,Call,40.30,41.20,0.6006,0.9791,0.0021,-0.0571,0.0191,0.0577
2025-05-23,AAPL,2025-06-06,155.00,Put,0.11,0.13,0.5630,-0.0151,0.0017,-0.0290,0.0145,-0.0011
2025-05-23,AAPL,2025-06-06,160.00,Call,35.35,36.30,0.5584,0.9707,0.0031,-0.0672,0.0254,0.0589
2025-05-23,AAPL,2025-06-06,160.00,Put,0.16,0.18,0.5234,-0.0220,0.0026,-0.0371,0.0201,-0.0017
2025-05-23,AAPL,2025-06-06,165.00,Call,30.40,31.55,0.5297,0.9546,0.0046,-0.0856,0.0363,0.0596
2025-05-23,AAPL,2025-06-06,165.00,Put,0.24,0.26,0.4859,-0.0330,0.0039,-0.0482,0.0282,-0.0025
2025-05-23,AAPL,2025-06-06,170.00,Call,25.70,26.20,0.4449,0.9509,0.0059,-0.0788,0.0387,0.0612
2025-05-23,AAPL,2025-06-06,170.00,Put,0.37,0.39,0.4504,-0.0508,0.0060,-0.0632,0.0400,-0.0039
2025-05-23,AAPL,2025-06-06,175.00,Call,21.00,21.40,0.4175,0.9197,0.0093,-0.1021,0.0569,0.0607
2025-05-23,AAPL,2025-06-06,175.00,Put,0.59,0.62,0.4184,-0.0803,0.0093,-0.0837,0.0564,-0.0059
2025-05-23,AAPL,2025-06-06,180.00,Call,16.50,16.75,0.3920,0.8692,0.0141,-0.1303,0.0811,0.0587
2025-05-23,AAPL,2025-06-06,180.00,Put,1.01,1.05,0.3932,-0.1314,0.0142,-0.1120,0.0825,-0.0095
2025-05-23,AAPL,2025-06-06,182.50,Call,14.30,14.60,0.3814,0.8333,0.0171,-0.1462,0.0955,0.0568
2025-05-23,AAPL,2025-06-06,182.50,Put,1.30,1.37,0.3810,-0.1663,0.0172,-0.1269,0.0987,-0.0119
2025-05-23,AAPL,2025-06-06,187.50,Call,10.25,10.55,0.3612,0.7374,0.0235,-0.1754,0.1246,0.0512
2025-05-23,AAPL,2025-06-06,187.50,Put,2.24,2.34,0.3613,-0.2632,0.0237,-0.1563,0.1269,-0.0186
2025-05-23,AAPL,2025-06-06,192.50,Call,6.80,7.05,0.3443,0.6075,0.0291,-0.1930,0.1470,0.0428
2025-05-23,AAPL,2025-06-06,192.50,Put,3.75,3.85,0.3436,-0.3937,0.0295,-0.1733,0.1461,-0.0270
2025-05-23,AAPL,2025-06-06,195.00,Call,5.40,5.55,0.3382,0.5326,0.0307,-0.1945,0.1520,0.0378
2025-05-23,AAPL,2025-06-06,195.00,Put,4.75,4.90,0.3357,-0.4694,0.0313,-0.1738,0.1520,-0.0315
2025-05-23,AAPL,2025-06-06,200.00,Call,3.05,3.20,0.3244,0.3761,0.0305,-0.1759,0.1451,0.0269
